Name,latitude,longitude,geometry
Ada @ Ledan,34.3625,-83.87846,Point
Ansl @ Dell,33.793801,-84.3762,Point
Ansl @ Euba,33.792567,-84.377997,Point
Ansl @ Madd,33.795934,-84.375291,Point
Ansl @ Winn,33.791386,-84.378662,Point
BJohn @ Orchard,32.998903,-85.051846,Point
Baldridge Trib @ Central,34.24471,-84.09799,Point
Ball @ Spal,33.978694,-84.321018,Point
Balus @ Mundy Mill,34.2458,-83.88286,Point
Balus @ Old Oakwood,34.242034,-83.868576,Point
Balus @ Stephens,34.24744,-83.89055,Point
Balus Trib @ Old Oakwood,34.23288,-83.88242,Point
Beav @ Park,33.816536,-84.420681,Point
Beech @ Young Mill,33.097885,-85.009952,Point
Big N Fk @ Gainesville,34.157178,-83.952362,Point
Big S Fk @ Gainesville,34.15718,-83.952363,Point
Big Trib @ Cumming Fairgrounds,34.201846,-84.142811,Point
BigC @ Hayn,34.042034,-84.284718,Point
BigC @ Kimb,34.050577,-84.269473,Point
BigC @ OldH,34.029362,-84.32666,Point
BigC @ Park,34.037469,-84.303087,Point
BigC @ Rive,34.006291,-84.350204,Point
BigW @ OldH,34.030691,-84.323928,Point
Burn @ Fraz,33.83164,-84.267052,Point
Burn @ Maso,33.805,-84.30371,Point
CSO @ Gree,33.760295,-84.425298,Point
CSO @ NAve,33.768604,-84.42594,Point
CSO @ Tany,33.800018,-84.39655,Point
Camp @ Adam,33.657168,-84.44212,Point
Camp @ Fair,33.657735,-84.467229,Point
Cedar @ 70,33.481904,-84.82125,Point
Centralhatchee @ F Pkwy,33.311158,-85.104608,Point
Chat @ Capp,33.578918,-84.808415,Point
Chat @ Holc,33.973652,-84.26276,Point
Chat @ John,33.943813,-84.40528,Point
Chat @ Powe,33.90292,-84.443142,Point
Chat @ Rive,33.800979,-84.502084,Point
Chat @ Riverwalk,32.472598,-84.996492,Point
Chat @ Rosw,34.004401,-84.350555,Point
Chat @ SCob,33.817541,-84.480244,Point
Chat @ Vete,33.795557,-84.50785,Point
Chat @ Whit,33.47662,-84.901097,Point
Chat @ Will,33.995199,-84.384585,Point
Chatt @ Bottom,34.67821,-83.68527,Point
Chatt @ Fran,33.278245,-85.10121,Point
Chatt @ WP,32.877685,-85.180221,Point
Clea @ Broo,33.806736,-84.386344,Point
Clea @ Dayl,33.78968,-84.370882,Point
Clea @ Pied,33.796159,-84.369799,Point
Dixie @ Mooty,33.073324,-85.044409,Point
DucE @ Pond,33.825906,-84.384223,Point
DucW @ Pond,33.825384,-84.385046,Point
E Fork Little @ Green,34.45743,-83.79957,Point
E Fork Little @ Honeysuckle,34.39416,-83.79799,Point
EWes @ Gard,33.829024,-84.377219,Point
Fall @ Bran,33.952178,-84.384535,Point
Fall @ Rive,33.952283,-84.390043,Point
Fern @ Fore,33.776458,-84.322044,Point
Flat @ Atlanta,34.28204,-83.83934,Point
Flat @ Dixie,34.271696,-83.848595,Point
Flat @ Dorsey,34.281333,-83.832433,Point
Flat @ Georgia,34.28308,-83.82288,Point
Flat @ Glade Farm,34.42352,-83.73651,Point
Flat @ Industrial,34.28132,-83.83012,Point
Flat @ McEver,34.26614,-83.88435,Point
Flat @ Moreno,34.29006,-83.81726,Point
Flat @ Old Flowery Br,34.26896,-83.86837,Point
Flat Shoals @ 103,32.836891,-85.115997,Point
Flat Trib @ Davis,34.28222,-83.83131,Point
Flat Trib OF @ Davis,,,Point
FoeK @ Hemb,34.061122,-84.330543,Point
Fort @ 116,32.793935,-84.802071,Point
Fort @ J St,32.805695,-84.810911,Point
Four Mile @ Avery Bridge,34.25776,-84.01103,Point
Halawakee @ 29,32.697494,-85.266923,Point
Hardley @ Stateline,32.912224,-85.193773,Point
Hear @ Rive,33.924339,-84.428653,Point
Hogw @ Char,34.029589,-84.35053,Point
Hogw @ Rosw,34.036047,-84.365976,Point
Johnson @ Ledan,34.35994,-83.909,Point
LC @ Gabbetville,32.944034,-85.132694,Point
LC @ NHM,32.966233,-85.072256,Point
LC @ Old WP,32.865796,-85.159356,Point
LC @ Whitesville,32.972412,-85.025478,Point
Laur @ Coop,33.84519,-84.512232,Point
Limestone @ Limestone,34.32628,-83.80471,Point
Litt @ NIvy,33.868226,-84.364987,Point
Long @ King,33.90818,-84.383211,Point
Long @ Long,33.901952,-84.396679,Point
Long @ Nside,33.886195,-84.42644,Point
Longwood Pk @ Wessell,34.31382,-83.83981,Point
Lull @ Ponc,33.773945,-84.336149,Point
Lull @ Wild,33.775925,-84.325569,Point
MarT Glen @ Glen,33.9389453,-84.3666974,Point
Mars @ Aber,33.937415,-84.373657,Point
Mars @ Glen,33.940377,-84.366514,Point
Mars @ Rive,33.946043,-84.395207,Point
Mars @ Rosw,33.940878,-84.374786,Point
Mars @ Wind,33.950011,-84.34721,Point
Mill @ Land,33.861725,-84.373975,Point
Mill @ Nanc,33.86592,-84.38045,Point
Moores @ 29,32.812739,-85.17043,Point
Mud @ Rafe,34.21463,-83.91933,Point
Mud @ Stephens,34.221732,-83.923156,Point
NCoo @ King,33.850417,-84.531873,Point
NPea @ Hend,33.867687,-84.230762,Point
NPea @ Lind,33.820788,-84.358494,Point
NUto @ Beec,33.733619,-84.455567,Point
NUto @ Benj,33.739389,-84.505681,Point
NUto @ Fair,33.728859,-84.510369,Point
NUto @ Harl,33.75035,-84.48261,Point
NUto @ JWGC,33.728694,-84.446972,Point
NUto @ Lion,33.736211,-84.468561,Point
NUto @ Lynh,33.745869,-84.489389,Point
NUto @ Peyt,33.739148,-84.479184,Point
Nanc @ Ashf,33.90357,-84.3312,Point
Nanc @ Cham,33.911351,-84.310838,Point
Nanc @ Murp,33.915352,-84.326263,Point
Nanc @ Rand,33.8597,-84.424437,Point
Nanc @ Rick,33.869231,-84.378566,Point
Nanc @ Ridg,33.89708,-84.360148,Point
Nanc @ Rosw,33.866148,-84.380912,Point
Nanc @ WWes,33.838381,-84.439248,Point
Nick @ Disc,33.79012,-84.52213,Point
Nick @ Park,33.8177,-84.5075,Point
Nisk @ Lake,33.7154,-84.5296,Point
Orme @ Clea,33.792272,-84.370477,Point
Orme @ Park,33.785494,-84.360602,Point
Osanippa @ Hopewell,32.757702,-85.161514,Point
Oseligee @ Fredonia,32.901629,-85.196544,Point
Oseligee @ Stateline,32.889404,-85.184398,Point
Outfall @ Atlanta,,,Point
PP Outfall @ Industrial,,,Point
Pali @ ABC,34.042574,-84.273355,Point
Peac @ Nside,33.82028,-84.407499,Point
Peac @ Pied,33.817242,-84.366659,Point
Peac @ Ridg,33.826519,-84.449747,Point
Peav @ Ndec,33.787621,-84.327611,Point
Peav @ OldB,33.801323,-84.335133,Point
Peav @ Tany,33.777772,-84.305197,Point
Powe @ BigT,33.964128,-84.362717,Point
Powe Creek N,33.912603,-84.73268,Point
Powe Creek S,33.911505,-84.733476,Point
ProT ADWi @ Nwes,33.796356,-84.486105,Point
ProT Chat @ Mopa,33.779005,-84.417658,Point
ProT Grov @ Grov,33.77391,-84.440281,Point
ProT Grov @ NorE,33.768039,-84.43899,Point
ProT Lill @ Lill,33.798612,-84.479102,Point
ProT Linc @ BakeC,33.770282,-84.458137,Point
ProT Linc @ BakeR,33.770246,-84.457523,Point
ProT Linc @ Boon,33.763486,-84.461714,Point
ProT Linc @ Broo,33.784267,-84.462934,Point
ProT Linc @ Holl,33.776666,-84.458496,Point
ProT Linc @ Spri,33.78859,-84.46618,Point
ProT Lind @ Lind,33.769392,-84.416163,Point
ProT Lind @ Vall,33.767455,-84.426188,Point
Proc @ Boon,33.763599,-84.428162,Point
Proc @ Burb,33.753102,-84.428253,Point
Proc @ Dean,33.744593,-84.421905,Point
Proc @ Fran,33.7761,-84.437788,Point
Proc @ Holl,33.771809,-84.429956,Point
Proc @ Hort,33.77586,-84.440846,Point
Proc @ Jame,33.794546,-84.474154,Point
Proc @ John,33.783977,-84.450569,Point
Proc @ Knig,33.783746,-84.426658,Point
Proc @ Nave,33.768105,-84.42757,Point
Proc @ Nwes,33.799301,-84.486901,Point
Proc @ WACS,33.792407,-84.452206,Point
Proc @ Wvie,33.747396,-84.432866,Point
Rott @ BobC,33.893906,-84.457921,Point
Rott @ NInt,,,Point
Rott @ Wind,33.903782,-84.470604,Point
SPea @ Bria,33.800573,-84.336888,Point
SPea @ Houston,33.804032,-84.322391,Point
SPea @ Maso,33.805123,-84.302754,Point
SPea @ OldB,33.803201,-84.335549,Point
SUtT @ Conn,33.692803,-84.454895,Point
SUto @ Adam,33.712246,-84.463752,Point
SUto @ Alis,33.699711,-84.451293,Point
SUto @ Camp,33.702524,-84.46988,Point
SUto @ Casc,33.718952,-84.479712,Point
SUto @ Chil,33.715197,-84.490445,Point
SUto @ Dods,33.708092,-84.474498,Point
SUto @ Fair,33.72788,-84.510288,Point
SanT @ Coll,33.767854,-84.495084,Point
SanT @ Drak,33.772604,-84.486139,Point
SanT @ Skip,33.776054,-84.49055,Point
Sand @ 103,32.81582,-85.104797,Point
Sand @ Bake,33.766835,-84.481796,Point
Sand @ Bolt,33.779413,-84.499276,Point
Sand @ Fult,33.78186,-84.508744,Point
Sand @ Harw,33.769402,-84.494531,Point
Sand @ Wate,33.770926,-84.487104,Point
Sautee @ Lynch Mountain,34.6849,-83.66912,Point
Seve @ Mart,34.012424,-84.30728,Point
Seve @ Rive,34.002064,-84.32603,Point
Seve @ Spill,34.002484,-84.324701,Point
Sewe @ Park,33.977184,-84.451808,Point
Shoal @ Asbury Mill,34.55046,-83.83498,Point
Shoal @ Youngs,33.089076,-85.011754,Point
Six Mile @ Burruss Mill,34.2592,-84.05789,Point
SixS @ Boar,33.792,-84.371999,Point
Slaughterhouse @ Hollywood,34.32087,-83.84173,Point
Sope @ Coll,33.92654,-84.430338,Point
Soque @ Pitts,34.61725,-83.52928,Point
Spin @ Park,33.812608,-84.463823,Point
Squirrel @ Elrod,34.38939,-83.9044,Point
Swee @ Summ,33.728935,-84.626894,Point
TanT Alga @ Alga,33.80197,-84.401096,Point
Tany @ Park,33.80815,-84.4022,Point
Tany @ Swift,33.016523,-85.033903,Point
Tesnatee @ Town Creek,34.5834,-83.82236,Point
Two Mile @ Wallace Wood,34.286,-83.98722,Point
Utoy @ Grea,33.743519,-84.5685,Point
W Fork Little @ Bethel,34.45032,-83.81727,Point
W Fork Little @ Jim Hood,34.4044,-83.81751,Point
WNan @ Pace,33.870637,-84.457508,Point
Wahoo @ 27,33.428282,-84.861445,Point
Wahoo @ 29,33.405764,-84.788819,Point
Wahoo @ 70,33.418931,-84.811902,Point
Wahoo @ Broad,33.372659,-84.875603,Point
Wahoo @ Greison Tr,33.377849,-84.780518,Point
Wahoo @ Hubert Stevens,34.42181,-83.87664,Point
Wahoo @ Wagers Mill,33.436815,-84.911414,Point
Wera @ Camille,32.495333,-84.961291,Point
Wera@19th,32.483081,-84.965127,Point
Whet @ Adam,33.819578,-84.454802,Point
Whet @ LaDa,33.81601,-84.453066,Point
White @ Liberty,33.15231,-85.154013,Point
Will @ Will,33.993526,-84.387138,Point
Wilshire @ Wilshire,34.305008,-83.84348,Point
